feat,score
15,1.6762411923394727e-06
82,3.292845254691118e-05
36,4.894584479632263e-05
62,5.16385451966566e-05
22,6.954666364262369e-05
121,0.00013769972770120986
89,0.00011961715991578963
91,3.662323789075522e-05
39,0.0001773614458012154
18,0.00014248342677446874
68,7.779911002775072e-05
75,0.0002247165171182508
1,0.0001990840053207061
21,7.548824180327561e-05
33,0.0001001586118316855
80,0.0013590108242531873
7,2.1220130845901568e-05
115,9.973962048203788e-05
3,9.020707806067785e-05
2,6.810033838448599e-05
23,0.00010051952207353575
114,4.787003513272853e-05
93,2.293009864031033e-05
5,0.0001468057100523965
4,6.196823041366983e-05
88,0.00012758982171886483
119,9.132249814190405e-06
90,0.00012075680755669997
28,7.267103558368949e-05
43,0.00010103804463486863
40,9.420550271091108e-05
56,9.13087492447123e-05
42,3.369302696129431e-05
97,0.00014123347776329523
117,4.6644836792438926e-05
58,4.3308237579028214e-05
17,0.00014874073260237467
102,0.00021446497798706735
60,9.423599211673146e-05
92,0.00013361059337136522
37,2.4128211524393484e-05
44,7.01552419848277e-05
35,2.2893248888431958e-05
29,8.757316133052584e-05
50,3.378120876056708e-05
31,0.0001035091041877074
45,9.825352558736483e-05
71,0.00012234029365625065
99,6.64218155408975e-05
63,0.00011729266314045722
67,3.058770957423129e-05
9,2.864339642969036e-05
6,8.504562505557908e-05
25,0.00014310231002810127
10,0.00013810874592193323
11,6.269429695910517e-06
95,2.142800948236193e-05
27,2.9182500089326713e-05
86,6.129313787426281e-06
85,0.00011985558220219865
112,2.950882630288129e-05
120,0.00014012336902363438
111,4.699567976727088e-05
